id,Ciudad,Latitud,Logitud,GPS,Importancia,Ventas,Estado
491,MEDELLIN,6.292807958,-75.5891097,6.29280795756651;-75.5891097015513,4,235467,ABIERTO
492,MEDELLIN,6.254497178,-75.5669992,6.25449717789746;-75.5669991968988,4,371543,ABIERTO
493,MEDELLIN,6.276169489,-75.56523497,6.27616948930291;-75.5652349683256,5,161055,ABIERTO
494,MEDELLIN,6.256404983,-75.56393881,6.25640498327699;-75.5639388117634,3,301076,ABIERTO
495,MEDELLIN,6.279570103,-75.55194855,6.27957010269;-75.5519485474,3,313397,ABIERTO
496,MEDELLIN,6.246801188,-75.59382904,6.24680118768168;-75.5938290445732,2,393800,ABIERTO
497,MEDELLIN,6.196078174,-75.56574139,6.196078173816204;-75.56574138812721,5,399611,ABIERTO
498,MEDELLIN,6.274067124,-75.56575321,6.27406712395365;-75.565753206151,1,374354,ABIERTO
499,MEDELLIN,6.232633504,-75.59826459,6.232633503882096;-75.59826459225008,5,373057,ABIERTO
500,MEDELLIN,6.255827571,-75.61618236,6.25582757144703;-75.6161823565678,3,361489,ABIERTO
501,MEDELLIN,6.250460148,-75.55905914,6.25046014786;-75.5590591431,1,238609,ABIERTO
502,MEDELLIN,6.294679214,-75.54124645,6.29467921374614;-75.5412464540689,3,243323,ABIERTO
503,MEDELLIN,6.240540028,-75.54576874,6.24054002762;-75.5457687378,5,270251,ABIERTO
504,MEDELLIN,6.209094934,-75.57608038,6.209094934165478;-75.57608038187027,5,196773,ABIERTO
505,MEDELLIN,6.209738438,-75.57171262,6.20973843788798;-75.5717126188943,2,163502,ABIERTO
506,MEDELLIN,6.238455646,-75.60682015,6.238455646;-75.60682015,4,394014,ABIERTO
507,MEDELLIN,6.210225623,-75.56972845,6.21022562348;-75.5697284499,5,259579,ABIERTO
508,MEDELLIN,6.233571529,-75.56861877,6.23357152939;-75.5686187744,3,376205,ABIERTO
509,MEDELLIN,6.21060321,-75.56605246,6.21060320974404;-75.5660524648928,4,194947,ABIERTO
510,MEDELLIN,6.3082219,-75.5725141,6.3082219;-75.5725141,4,218954,ABIERTO
511,MEDELLIN,6.201647152,-75.59036926,6.201647152192891;-75.59036926366389,1,416390,ABIERTO
512,MEDELLIN,6.294168043,-75.5816057,6.29416804257499;-75.5816057025542,3,214073,ABIERTO
513,MEDELLIN,6.248250008,-75.59253693,6.24825000763;-75.5925369263,5,292530,ABIERTO
514,MEDELLIN,6.296050072,-75.53794861,6.29605007172;-75.5379486084,3,190497,ABIERTO
515,MEDELLIN,6.285991811,-75.55669964,6.2859918105;-75.5566996374,3,227350,ABIERTO
